time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,n_embd,n_q_head,n_kv_head,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend
0.07465600000000001,0.074848,0.07475332,0.074752,4.022508669972029e-05,8192,64,8,8,131072,1,32,1248,True,FLASH_ATTENTION
0.07475100000000001,0.07494400000000001,0.07482444,0.07481600000000001,4.0520691010888075e-05,8192,64,8,8,131072,1,32,1280,True,FLASH_ATTENTION
0.078079,0.07827200000000001,0.07815602,0.0781435,4.5575647005830304e-05,8192,64,8,8,131072,1,32,1312,True,FLASH_ATTENTION
0.078175,0.078304,0.07824453999999999,0.07823949999999999,3.3358183403776915e-05,8192,64,8,8,131072,1,32,1344,True,FLASH_ATTENTION
0.081503,0.081664,0.0815719,0.081568,4.202201803816518e-05,8192,64,8,8,131072,1,32,1376,True,FLASH_ATTENTION
0.081535,0.081696,0.08161928000000002,0.081631,4.14309256473951e-05,8192,64,8,8,131072,1,32,1408,True,FLASH_ATTENTION
0.08486300000000001,0.085055,0.08495201999999999,0.084959,4.492949587965616e-05,8192,64,8,8,131072,1,32,1440,True,FLASH_ATTENTION
0.084959,0.085119,0.085038,0.085055,4.293902653763844e-05,8192,64,8,8,131072,1,32,1472,True,FLASH_ATTENTION
0.088287,0.088448,0.08835778000000001,0.088352,4.191242775120549e-05,8192,64,8,8,131072,1,32,1504,True,FLASH_ATTENTION
0.088352,0.08851200000000001,0.08844287999999999,0.088447,4.093342888153792e-05,8192,64,8,8,131072,1,32,1536,True,FLASH_ATTENTION
0.091647,0.091807,0.09175152,0.09175950000000001,3.9329500378214804e-05,8192,64,8,8,131072,1,32,1568,True,FLASH_ATTENTION
0.09177500000000001,0.09196700000000001,0.09185072000000001,0.0918395,5.6032504852094755e-05,8192,64,8,8,131072,1,32,1600,True,FLASH_ATTENTION
0.095101,0.095262,0.09515625999999999,0.09515000000000001,4.054222983507418e-05,8192,64,8,8,131072,1,32,1632,True,FLASH_ATTENTION
0.095166,0.095359,0.09525534000000001,0.095263,5.6718818746513846e-05,8192,64,8,8,131072,1,32,1664,True,FLASH_ATTENTION
