time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,time_stats.attn_decode.min,time_stats.attn_decode.max,time_stats.attn_decode.mean,time_stats.attn_decode.median,time_stats.attn_decode.std,n_embd,n_q_head,n_kv_head,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend
0.040767000000000005,0.041055999999999995,0.04091672,0.040927,6.227585085729397e-05,,,,,,8192,64,8,4,131072,1,32,608,True,FLASH_ATTENTION
0.040863000000000003,0.04112,0.04098712,0.040992,5.880633979427747e-05,,,,,,8192,64,8,4,131072,1,32,640,True,FLASH_ATTENTION
0.044255,0.04448,0.044364619999999994,0.044351,5.434368040536066e-05,,,,,,8192,64,8,4,131072,1,32,672,True,FLASH_ATTENTION
0.044288,0.044575000000000004,0.044421340000000004,0.044416,6.607680682357438e-05,,,,,,8192,64,8,4,131072,1,32,704,True,FLASH_ATTENTION
0.047583,0.047904,0.047721299999999994,0.047727500000000006,7.030597414160561e-05,,,,,,8192,64,8,4,131072,1,32,736,True,FLASH_ATTENTION
0.047679000000000006,0.047967,0.04780422000000001,0.047807,7.511731890849128e-05,,,,,,8192,64,8,4,131072,1,32,768,True,FLASH_ATTENTION
0.050976,0.051295,0.05113936000000001,0.0511515,8.34270363850951e-05,,,,,,8192,64,8,4,131072,1,32,800,True,FLASH_ATTENTION
0.051039,0.051328000000000006,0.05118558,0.0511835,7.797283886072104e-05,,,,,,8192,64,8,4,131072,1,32,832,True,FLASH_ATTENTION
0.0544,0.054814999999999996,0.05456339999999999,0.054560000000000004,8.938769490259817e-05,,,,,,8192,64,8,4,131072,1,32,864,True,FLASH_ATTENTION
0.05443,0.054752,0.054651059999999994,0.054655,7.817145514828373e-05,,,,,,8192,64,8,4,131072,1,32,896,True,FLASH_ATTENTION
0.057887,0.058175,0.05799311999999999,0.057984,6.172346069364474e-05,,,,,,8192,64,8,4,131072,1,32,928,True,FLASH_ATTENTION
0.057856000000000005,0.058208,0.05804568000000001,0.058048,8.481590416897055e-05,,,,,,8192,64,8,4,131072,1,32,960,True,FLASH_ATTENTION
