time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,time_stats.attn_decode.min,time_stats.attn_decode.max,time_stats.attn_decode.mean,time_stats.attn_decode.median,time_stats.attn_decode.std,n_embd,n_q_head,n_kv_head,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend
0.0096,0.010144,0.009656320000000001,0.009632,7.480706918467005e-05,,,,,,8192,64,8,2,131072,1,32,32,True,FLASH_ATTENTION
0.009696,0.009792,0.00976572,0.00976,2.0968586027674934e-05,,,,,,8192,64,8,2,131072,1,32,64,True,FLASH_ATTENTION
0.013663,0.013792,0.013730380000000002,0.013728,3.508611691253384e-05,,,,,,8192,64,8,2,131072,1,32,96,True,FLASH_ATTENTION
0.013728,0.013888000000000001,0.013809879999999998,0.013808,3.631563850464425e-05,,,,,,8192,64,8,2,131072,1,32,128,True,FLASH_ATTENTION
0.016992,0.017120999999999997,0.0170643,0.017056,3.1277627787285765e-05,,,,,,8192,64,8,2,131072,1,32,160,True,FLASH_ATTENTION
0.017119,0.017248000000000003,0.017156960000000002,0.017152,3.221736177901676e-05,,,,,,8192,64,8,2,131072,1,32,192,True,FLASH_ATTENTION
0.020416,0.020544,0.020494540000000002,0.020510999999999998,3.016700846951843e-05,,,,,,8192,64,8,2,131072,1,32,224,True,FLASH_ATTENTION
0.020512000000000002,0.020608,0.020559820000000003,0.020575,2.7979771264254103e-05,,,,,,8192,64,8,2,131072,1,32,256,True,FLASH_ATTENTION
0.023808,0.023936,0.0238743,0.023872,2.917687440422661e-05,,,,,,8192,64,8,2,131072,1,32,288,True,FLASH_ATTENTION
0.023903,0.024064000000000002,0.023974739999999998,0.023968,3.689976151684499e-05,,,,,,8192,64,8,2,131072,1,32,320,True,FLASH_ATTENTION
0.0272,0.027328,0.027286840000000003,0.027296,2.9925480781435076e-05,,,,,,8192,64,8,2,131072,1,32,352,True,FLASH_ATTENTION
0.027328,0.027486999999999998,0.027398180000000005,0.027392,3.192722349343914e-05,,,,,,8192,64,8,2,131072,1,32,384,True,FLASH_ATTENTION
0.030623,0.030784,0.03071198,0.030719000000000003,3.298514210974362e-05,,,,,,8192,64,8,2,131072,1,32,416,True,FLASH_ATTENTION
0.03072,0.03088,0.030790260000000003,0.030784,3.3072532409842136e-05,,,,,,8192,64,8,2,131072,1,32,448,True,FLASH_ATTENTION
0.034016,0.034208,0.03411488,0.034112,3.7926581707294065e-05,,,,,,8192,64,8,2,131072,1,32,480,True,FLASH_ATTENTION
0.034110999999999995,0.034304,0.03420072,0.034207,3.450741369619097e-05,,,,,,8192,64,8,2,131072,1,32,512,True,FLASH_ATTENTION
0.03744,0.037568,0.03751398,0.037503999999999996,2.5932597247479322e-05,,,,,,8192,64,8,2,131072,1,32,544,True,FLASH_ATTENTION
0.037535,0.037696,0.037590820000000004,0.0376,3.803718706739547e-05,,,,,,8192,64,8,2,131072,1,32,576,True,FLASH_ATTENTION
0.040832,0.040992,0.040911119999999995,0.040912,3.5102501335375744e-05,,,,,,8192,64,8,2,131072,1,32,608,True,FLASH_ATTENTION
0.040959,0.041152,0.04102564,0.041024000000000005,3.595761949851426e-05,,,,,,8192,64,8,2,131072,1,32,640,True,FLASH_ATTENTION
0.044255,0.044415,0.044321980000000004,0.044319000000000004,3.2562856140086706e-05,,,,,,8192,64,8,2,131072,1,32,672,True,FLASH_ATTENTION
0.044319000000000004,0.044448,0.044400180000000004,0.0443995,2.7313505816719717e-05,,,,,,8192,64,8,2,131072,1,32,704,True,FLASH_ATTENTION
0.047648,0.047839,0.04772968000000002,0.047743,3.5145662605789765e-05,,,,,,8192,64,8,2,131072,1,32,736,True,FLASH_ATTENTION
0.047743,0.047936,0.047817220000000014,0.047808,4.014189332854194e-05,,,,,,8192,64,8,2,131072,1,32,768,True,FLASH_ATTENTION
0.051071,0.051296,0.05115356,0.051136,4.394003186161771e-05,,,,,,8192,64,8,2,131072,1,32,800,True,FLASH_ATTENTION
0.051168,0.051296,0.051241400000000006,0.051232,3.627671429443464e-05,,,,,,8192,64,8,2,131072,1,32,832,True,FLASH_ATTENTION
0.054462,0.054654,0.05455588000000001,0.054558,3.786007923921938e-05,,,,,,8192,64,8,2,131072,1,32,864,True,FLASH_ATTENTION
0.05459000000000001,0.054751,0.05466284000000001,0.054654,4.283333281452648e-05,,,,,,8192,64,8,2,131072,1,32,896,True,FLASH_ATTENTION
0.057855,0.058047,0.05795722,0.057952,3.655805793528993e-05,,,,,,8192,64,8,2,131072,1,32,928,True,FLASH_ATTENTION
0.057984,0.058176000000000005,0.05806792000000001,0.058048,4.328040665243327e-05,,,,,,8192,64,8,2,131072,1,32,960,True,FLASH_ATTENTION
